dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts/s,flow_pkts/s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,fwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts/s,bwd_pkts/s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down/up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,label
17958,6,2018-03-02 03:27:49,85974481,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.023262717,86000000.0,0.0,86000000.0,86000000.0,86000000.0,86000000.0,0.0,86000000.0,86000000.0,0.0,0.0,0.0,0.0,0.0,0,0,40,0,0.023262717,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2,0,0,0,62564,-1,0,20,0.0,0.0,0.0,0.0,86000000.0,0.0,86000000.0,86000000.0,Benign
443,6,2018-03-02 02:12:22,522320,9,6,662,4390.0,366,0,73.55555556,129.9616396,1460,0,731.6666667,654.9847835,9672.231582,28.71802726,37308.57143,38758.27425,141744.0,0.0,522320.0,65290.0,42387.20979,141744.0,11156.0,389495.0,77899.0,95307.29967,233141.0,0.0,0,0,192,132,17.23081636,11.48721091,0,1460,315.75,512.879908,263045.8,0,0,1,1,0,0,0,1,0,336.8,73.55555556,731.6666667,9,662,6,4390,8192,1024,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
445,6,2018-03-02 11:32:43,966728,6,5,455,338.0,140,0,75.83333333,62.93621109,145,0,67.6,69.7588704,820.2927814,11.37858839,96672.8,122490.2541,242966.0,66.0,966659.0,193331.8,107953.6675,246599.0,336.0,966662.0,241665.5,4396.208708,246886.0,236501.0,0,0,132,112,6.20650276,5.172085633,0,145,66.08333333,63.40269328,4019.901515,0,0,0,1,0,0,0,0,0,72.09090909,75.83333333,67.6,6,455,5,338,8192,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
52637,6,2018-03-02 03:34:08,45,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,44444.44444,45.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,20,20,22222.22222,22222.22222,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,1,0,1,0,31088,64209,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
443,6,2018-03-02 12:04:17,59383703,197,2885,5970,4161052.0,502,0,30.30456853,119.2964008,1460,108,1442.305719,125.7207768,70171.13769,51.89976112,19274.16521,433016.974,9947195.0,0.0,59400000.0,302978.0765,1695644.965,9947195.0,17.0,50100000.0,17382.62829,414473.3736,9965147.0,0.0,1,0,3940,57700,3.317408482,48.58235264,0,1460,1351.772624,367.7339343,135228.2465,0,1,0,0,1,0,0,0,14,1352.211226,30.30456853,1442.305719,197,5970,2885,4161052,16919,4129,11,20,80319.5,21026.79576,121877.0,68029.0,9816964.333,286299.0891,9947195.0,9234549.0,Benign
80,6,2018-03-02 04:12:42,10131,3,4,161,488.0,161,0,53.66666667,92.95339334,488,0,122.0,244.0,64060.80347,690.9485737,1688.5,3757.805889,9356.0,35.0,483.0,241.5,157.6848122,353.0,130.0,9831.0,3277.0,5268.46154,9356.0,35.0,0,0,72,92,296.1208173,394.8277564,0,488,81.125,173.7875859,30202.125,0,0,0,1,0,0,0,0,1,92.71428571,53.66666667,122.0,3,161,4,488,8192,149,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
443,6,2018-03-02 11:46:33,347,3,0,46,0.0,46,0,15.33333333,26.55811238,0,0,0.0,0.0,132564.8415,8645.533141,173.5,6.363961031,178.0,169.0,347.0,173.5,6.363961031,178.0,169.0,0.0,0.0,0.0,0.0,0.0,0,0,60,0,8645.533141,0.0,0,46,11.5,23.0,529.0,0,0,0,0,1,0,0,0,0,15.33333333,15.33333333,0.0,3,46,0,0,256,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
443,6,2018-03-02 10:43:53,119078922,30,38,2076,23840.0,467,0,69.2,152.2818168,1460,0,627.3684211,651.1028242,217.6371734,0.571049845,1777297.343,3729800.158,10000000.0,1.0,114000000.0,3934979.069,4863359.268,10000000.0,32.0,119000000.0,3217597.622,4583386.158,10000000.0,1.0,0,0,612,904,0.251933755,0.31911609,0,1460,375.5942029,565.2214121,319475.2447,0,0,0,1,0,0,0,0,1,381.1176471,69.2,627.3684211,30,2076,38,23840,8192,78,17,20,382311.9091,1171078.757,3913238.0,28006.0,9991723.818,38843.13651,10000000.0,9874787.0,Benign
3389,6,2018-03-02 05:12:37,2570239,8,7,1148,1581.0,677,0,143.5,228.1296624,1173,0,225.8571429,430.0986044,1061.768964,5.836033147,183588.5,254945.8793,953138.0,2.0,2570239.0,367177.0,407071.4763,1263496.0,2.0,2311207.0,385201.1667,278914.789,953138.0,259681.0,0,0,172,152,3.112551012,2.723482135,0,1173,170.5625,319.4332416,102037.5958,0,0,1,1,0,0,0,1,0,181.9333333,143.5,225.8571429,8,1148,7,1581,8192,62852,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
3389,6,2018-03-02 09:26:56,10589951,10,14,1325,1770.0,677,0,132.5,203.6561645,1173,0,126.4285714,310.2306126,292.2581984,2.266299438,460432.6522,705972.4707,3015543.0,29.0,10600000.0,1176661.222,2105257.581,6717281.0,256.0,10200000.0,786905.3077,801506.6697,3015543.0,10936.0,0,0,212,316,0.944291433,1.322008006,0,1173,123.8,261.4560192,68359.25,0,0,0,1,0,0,0,0,1,128.9583333,132.5,126.4285714,10,1325,14,1770,8192,62852,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
