dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts/s,flow_pkts/s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,fwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts/s,bwd_pkts/s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down/up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,label
16808.0,6.0,2018-03-01 04:43:22,85929586.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023274871,85900000.0,0.0,85900000.0,85900000.0,85900000.0,85900000.0,0.0,85900000.0,85900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.023274871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,62611.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,85900000.0,0.0,85900000.0,85900000.0,Benign
53.0,17.0,2018-03-01 09:29:02,1493.0,1.0,1.0,31.0,78.0,31.0,31.0,31.0,0.0,78.0,78.0,78.0,0.0,73007.36772,1339.584729,1493.0,0.0,1493.0,1493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,669.7923644,669.7923644,31.0,78.0,46.66666667,27.13546265,736.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,31.0,78.0,1.0,31.0,1.0,78.0,-1.0,-1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
88.0,6.0,2018-03-01 03:37:12,259.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7722.007722,259.0,0.0,259.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,3861.003861,3861.003861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
53.0,17.0,2018-03-01 04:09:12,10998.0,1.0,1.0,34.0,111.0,34.0,34.0,34.0,0.0,111.0,111.0,111.0,0.0,13184.21531,181.8512457,10998.0,0.0,10998.0,10998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,90.92562284,90.92562284,34.0,111.0,59.66666667,44.45597073,1976.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,89.5,34.0,111.0,1.0,34.0,1.0,111.0,-1.0,-1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
80.0,6.0,2018-03-01 05:00:14,115852908.0,24.0,43.0,887.0,43209.0,875.0,0.0,36.95833333,178.5028265,1460.0,0.0,1004.860465,675.2873315,380.620571,0.578319536,1755347.091,3774483.574,10100000.0,0.0,116000000.0,5037082.957,5011154.511,10100000.0,142.0,112000000.0,2669353.833,4536030.225,11100000.0,0.0,0.0,0.0,492.0,1004.0,0.207159237,0.371160299,0.0,1460.0,648.4705882,720.0978265,518540.8797,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,658.1492537,36.95833333,1004.860465,24.0,887.0,43.0,43209.0,8192.0,968.0,13.0,20.0,125758.4545,300637.1272,1031670.0,31532.0,10100000.0,6698.621775,10100000.0,10000000.0,Benign
53.0,17.0,2018-03-01 01:57:36,310.0,1.0,1.0,84.0,212.0,84.0,84.0,84.0,0.0,212.0,212.0,212.0,0.0,954838.7097,6451.612903,310.0,0.0,310.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3225.806452,3225.806452,84.0,212.0,126.6666667,73.90083446,5461.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,190.0,84.0,212.0,1.0,84.0,1.0,212.0,-1.0,-1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
53.0,17.0,2018-03-01 11:41:16,410.0,1.0,1.0,31.0,47.0,31.0,31.0,31.0,0.0,47.0,47.0,47.0,0.0,190243.9024,4878.04878,410.0,0.0,410.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2439.02439,2439.02439,31.0,47.0,36.33333333,9.237604307,85.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,54.5,31.0,47.0,1.0,31.0,1.0,47.0,-1.0,-1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
53.0,17.0,2018-03-01 01:38:01,25813.0,2.0,2.0,56.0,156.0,28.0,28.0,28.0,0.0,78.0,78.0,78.0,0.0,8212.915973,154.9606787,8604.333333,13577.37995,24274.0,332.0,25481.0,25481.0,0.0,25481.0,25481.0,24606.0,24606.0,0.0,24606.0,24606.0,0.0,0.0,16.0,16.0,77.48033936,77.48033936,28.0,78.0,48.0,27.38612788,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,28.0,78.0,2.0,56.0,2.0,156.0,-1.0,-1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
53.0,17.0,2018-03-01 08:45:33,233.0,1.0,1.0,43.0,59.0,43.0,43.0,43.0,0.0,59.0,59.0,59.0,0.0,437768.2403,8583.690987,233.0,0.0,233.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,4291.845494,4291.845494,43.0,59.0,48.33333333,9.237604307,85.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,72.5,43.0,59.0,1.0,43.0,1.0,59.0,-1.0,-1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
53.0,17.0,2018-03-01 08:20:25,228.0,1.0,1.0,37.0,69.0,37.0,37.0,37.0,0.0,69.0,69.0,69.0,0.0,464912.2807,8771.929825,228.0,0.0,228.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,4385.964912,4385.964912,37.0,69.0,47.66666667,18.47520861,341.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,71.5,37.0,69.0,1.0,37.0,1.0,69.0,-1.0,-1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
