Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,0,15/02/2018 09:26:21,112636771,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266342862,56318385.5,82.7314933988,56318444,56318327,112636771,56318385.5,82.7314933988,56318444,56318327,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266342862,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56318385.5,82.7314933988,56318444,56318327,Benign
53,17,15/02/2018 10:32:08,1249,1,1,51,136,51,51,51.0,0.0,136,136,136.0,0.0,149719.775820657,1601.2810248199,1249.0,0.0,1249,1249,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,800.6405124099,800.6405124099,51,136,79.3333333333,49.0747728811,2408.3333333333,0,0,0,0,0,0,0,0,1,119.0,51.0,136.0,0,0,0,0,0,0,1,51,1,136,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
51224,6,15/02/2018 11:31:10,145,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,13793.1034482759,145.0,0.0,145,145,145,145.0,0.0,145,145,0,0.0,0.0,0,0,0,0,0,0,40,0,13793.1034482759,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,255,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,15/02/2018 09:11:27,685,3,4,161,488,161,0,53.6666666667,92.9533933395,488,0,122.0,244.0,947445.255474453,10218.9781021898,114.1666666667,76.9114209118,244,27,432,216.0,120.2081528017,301,131,441,147.0,160.2622850205,329,27,0,0,0,0,72,92,4379.5620437956,5839.4160583942,0,488,81.125,173.7875858627,30202.125,0,0,0,1,0,0,0,0,1,92.7142857143,53.6666666667,122.0,0,0,0,0,0,0,3,161,4,488,8192,149,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 12:54:35,464,1,1,46,62,46,46,46.0,0.0,62,62,62.0,0.0,232758.620689655,4310.3448275862,464.0,0.0,464,464,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,2155.1724137931,2155.1724137931,46,62,51.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,77.0,46.0,62.0,0,0,0,0,0,0,1,46,1,62,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6,15/02/2018 11:07:59,115152367,19,27,364,16096,196,0,19.1578947368,51.795820464,1460,0,596.1481481481,696.3387053673,142.9410478379,0.3994707291,2558941.48888889,4353906.8037761,10163407,0,115152367,6397353.72222222,4838547.73931925,10200754,39,111025682,4270218.53846154,5076255.59602971,10202575,0,0,0,0,0,392,684,0.1649987794,0.2344719497,0,1460,350.2127659574,598.7929865179,358553.040703053,0,0,0,1,0,0,0,0,1,357.8260869565,19.1578947368,596.1481481481,0,0,0,0,0,0,19,364,27,16096,8192,1129,14,20,37874.8181818182,34636.0009551281,139158,22265,10053708.6363636,67374.8810333239,10163407,10000342,Benign
445,6,15/02/2018 09:45:16,272783,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,14.66367039,90927.6666666667,157265.319909805,272522,64,272783,136391.5,192608.109020623,272586,197,0,0.0,0.0,0,0,0,0,0,0,72,32,10.9977527925,3.6659175975,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 05:03:59,13017,1,1,36,114,36,36,36.0,0.0,114,114,114.0,0.0,11523.3924867481,153.6452331566,13017.0,0.0,13017,13017,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,76.8226165783,76.8226165783,36,114,62.0,45.0333209968,2028.0,0,0,0,0,0,0,0,0,1,93.0,36.0,114.0,0,0,0,0,0,0,1,36,1,114,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,15/02/2018 09:14:29,40000,1,1,36,143,36,36,36.0,0.0,143,143,143.0,0.0,4475.0,50.0,40000.0,0.0,40000,40000,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,25.0,25.0,36,143,71.6666666667,61.7764788033,3816.3333333333,0,0,0,0,0,0,0,0,1,107.5,36.0,143.0,0,0,0,0,0,0,1,36,1,143,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
2869,6,15/02/2018 04:48:29,39,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,51282.0512820513,39.0,0.0,39,39,39,39.0,0.0,39,39,0,0.0,0.0,0,0,0,0,0,0,40,0,51282.0512820513,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,256,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
